dataset,seed,b,contraction,num_sets,universe,elements,baseline_bits,ceb_bits,baseline_bpe,ceb_bpe,H_bpe,L_bpe,saving_pct,baseline_total_bpe,ceb_total_bpe,total_saving_pct,ceb_build_ms,base_build_ms,max_depth,mean_depth,ceb_retrieve_us,ceb_rank_us,base_retrieve_us,base_rank_us,all_ok,num_ret,num_rank
nested,1,4,0,64,480,10511,32570,10392,3.0987,0.9887,1.9686,0.2384,68.0933,15.0955,10.8587,28.0666,11.7770,0.8880,63,31.5000,8.2510,9.1300,0.7585,0.7525,1,2000,2000
nested,1,4,1,64,480,10511,32570,17363,3.0987,1.6519,1.9686,1.0136,46.6902,15.0955,12.3642,18.0936,4.3480,0.8350,5,2.6094,0.6980,1.0375,0.6085,0.8170,1,2000,2000
nested,1,8,0,64,480,10511,28977,8160,2.7568,0.7763,1.9686,0.2384,71.8397,13.3152,10.2907,22.7143,4.2770,0.8570,63,31.5000,7.9240,9.8850,0.6705,0.8030,1,2000,2000
nested,1,8,1,64,480,10511,28977,15986,2.7568,1.5209,1.9686,1.0136,44.8321,13.3152,11.5466,13.2827,4.4990,1.2500,5,2.6094,0.7500,1.2785,0.6935,0.8950,1,2000,2000
nested,1,16,0,64,480,10511,26872,6778,2.5566,0.6448,1.9686,0.2384,74.7767,13.4486,10.1825,24.2859,4.3830,1.0020,63,31.5000,8.3710,12.9165,0.7235,1.0705,1,2000,2000
nested,1,16,1,64,480,10511,26872,14852,2.5566,1.4130,1.9686,1.0136,44.7306,13.4486,11.6924,13.0583,4.9590,1.5260,5,2.6094,0.9590,1.4915,0.6850,1.0315,1,2000,2000
nested,1,32,0,64,480,10511,24623,6413,2.3426,0.6101,1.9686,0.2384,73.9552,12.7913,10.3943,18.7387,4.4790,1.0440,63,31.5000,8.8870,14.6410,0.7640,1.1955,1,2000,2000
nested,1,32,1,64,480,10511,24623,13748,2.3426,1.3080,1.9686,1.0136,44.1660,12.7913,11.5254,9.8967,4.6220,1.0070,5,2.6094,0.6925,1.8855,0.7800,1.3425,1,2000,2000
nested,1,64,0,64,480,10511,24054,7324,2.2885,0.6968,1.9686,0.2384,69.5518,12.5151,10.8718,13.1300,4.7760,1.1130,63,31.5000,8.1405,20.2865,0.6430,1.6380,1,2000,2000
nested,1,64,1,64,480,10511,24054,13815,2.2885,1.3143,1.9686,1.0136,42.5667,12.5151,11.4972,8.1333,4.5550,1.1050,5,2.6094,0.6910,2.6555,0.7790,1.4265,1,2000,2000
nested,7,4,0,64,480,9676,32763,9767,3.3860,1.0094,2.0254,0.2543,70.1889,15.6570,10.8805,30.5069,3.8820,0.8300,63,31.5000,9.4710,9.4845,0.6285,0.7720,1,2000,2000
nested,7,4,1,64,480,9676,32763,16416,3.3860,1.6966,2.0254,1.0162,49.8947,15.6570,12.4309,20.6050,4.1670,0.8300,5,2.8438,0.7250,1.1230,0.6140,0.7310,1,2000,2000
nested,7,8,0,64,480,9676,28576,7679,2.9533,0.7936,2.0254,0.2543,73.1278,13.6322,10.3117,24.3577,3.9410,1.2920,63,31.5000,8.1405,10.8200,0.6890,0.8395,1,2000,2000
nested,7,8,1,64,480,9676,28576,15143,2.9533,1.5650,2.0254,1.0162,47.0080,13.6322,11.6182,14.7735,4.3960,0.9140,5,2.8438,1.1345,1.3065,0.7415,0.8745,1,2000,2000
nested,7,16,0,64,480,9676,26260,6474,2.7139,0.6691,2.0254,0.2543,75.3465,13.6780,10.2112,25.3453,4.2360,0.9580,63,31.5000,8.4385,12.0225,0.6485,0.8745,1,2000,2000
nested,7,16,1,64,480,9676,26260,14079,2.7139,1.4550,2.0254,1.0162,46.3861,13.6780,11.7484,14.1067,4.1180,0.9280,5,2.8438,0.7220,1.6235,0.6415,0.8820,1,2000,2000
nested,7,32,0,64,480,9676,23629,6245,2.4420,0.6454,2.0254,0.2543,73.5706,12.9273,10.4888,18.8632,3.9650,0.9850,63,31.5000,7.8270,14.5825,0.6495,1.0685,1,2000,2000
nested,7,32,1,64,480,9676,23629,13221,2.4420,1.3664,2.0254,1.0162,44.0476,12.9273,11.6124,10.1715,4.2890,1.0000,5,2.8438,0.7265,2.1210,0.6180,1.0485,1,2000,2000
nested,7,64,0,64,480,9676,23001,7395,2.3771,0.7643,2.0254,0.2543,67.8492,12.6221,10.9947,12.8927,4.1650,1.1510,63,31.5000,7.8970,20.4350,0.6345,1.4335,1,2000,2000
nested,7,64,1,64,480,9676,23001,13603,2.3771,1.4058,2.0254,1.0162,40.8591,12.6221,11.9058,5.6742,4.3190,1.0970,5,2.8438,0.7235,3.0680,0.6495,1.4310,1,2000,2000
nested,42,4,0,64,480,8714,31841,9073,3.6540,1.0412,2.1351,0.2808,71.5053,16.2069,10.9922,32.1759,3.5420,0.8090,63,31.5000,7.7020,8.8335,0.6295,0.7485,1,2000,2000
nested,42,4,1,64,480,8714,31841,15151,3.6540,1.7387,2.1351,1.0718,52.4167,16.2069,12.5429,22.6076,3.9500,0.8120,6,3.0781,0.7785,1.1665,0.6015,0.7310,1,2000,2000
nested,42,8,0,64,480,8714,27321,7266,3.1353,0.8338,2.1351,0.2808,73.4051,13.9772,10.4068,25.5441,3.5460,0.8230,63,31.5000,7.5070,9.8270,0.6705,0.7850,1,2000,2000
nested,42,8,1,64,480,8714,27321,13535,3.1353,1.5532,2.1351,1.0718,50.4594,13.9772,11.6469,16.6720,3.7210,0.8170,6,3.0781,0.7825,1.2850,0.6260,0.9150,1,2000,2000
nested,42,16,0,64,480,8714,25161,6226,2.8874,0.7145,2.1351,0.2808,75.2554,13.9459,10.3090,26.0786,3.7510,0.9360,63,31.5000,7.7720,11.3535,0.6560,0.8790,1,2000,2000
nested,42,16,1,64,480,8714,25161,12591,2.8874,1.4449,2.1351,1.0718,49.9583,13.9459,11.6938,16.1489,4.1490,0.9320,6,3.0781,0.8755,1.5530,0.6590,0.8845,1,2000,2000
nested,42,32,0,64,480,8714,22538,6104,2.5864,0.7005,2.1351,0.2808,72.9169,13.1193,10.5434,19.6349,3.6350,0.9600,63,31.5000,7.6980,14.1640,0.6450,1.0480,1,2000,2000
nested,42,32,1,64,480,8714,22538,11962,2.5864,1.3727,2.1351,1.0718,46.9252,13.1193,11.5227,12.1700,4.0900,0.9870,6,3.0781,0.8075,2.1385,0.6320,1.0390,1,2000,2000
