group,metric,mean,std
"nested, contraction on",baseline_bpe,2.7060,0.0998
"nested, contraction on",ceb_bpe,1.4268,0.0270
"nested, contraction on",H_bpe,2.0343,0.0605
"nested, contraction on",L_bpe,1.0448,0.0249
"nested, contraction on",saving_pct,47.2208,1.6239
"nested, contraction on",baseline_total_bpe,13.6753,0.1459
"nested, contraction on",ceb_total_bpe,11.7042,0.0301
"nested, contraction on",total_saving_pct,14.4039,0.9595
"nested, contraction on",max_depth,5.6250,0.4841
"nested, contraction on",mean_depth,2.8281,0.1302
"nested, contraction on",ceb_build_ms,4.1180,0.1546
"nested, contraction on",base_build_ms,0.9345,0.0556
"nested, contraction on",ceb_retrieve_us,0.8221,0.0503
"nested, contraction on",ceb_rank_us,1.4828,0.1130
"nested, contraction on",base_retrieve_us,0.6526,0.0394
"nested, contraction on",base_rank_us,0.8702,0.0324
"nested, contraction off",baseline_bpe,2.7060,0.0998
"nested, contraction off",ceb_bpe,0.6759,0.0207
"nested, contraction off",H_bpe,2.0343,0.0605
"nested, contraction off",L_bpe,0.2575,0.0119
"nested, contraction off",saving_pct,75.0152,0.2957
"nested, contraction off",baseline_total_bpe,13.6753,0.1459
"nested, contraction off",ceb_total_bpe,10.2607,0.0490
"nested, contraction off",total_saving_pct,24.9639,0.5462
"nested, contraction off",max_depth,63.0000,0.0000
"nested, contraction off",mean_depth,31.5000,0.0000
"nested, contraction off",ceb_build_ms,3.9800,0.2688
"nested, contraction off",base_build_ms,0.9575,0.1061
"nested, contraction off",ceb_retrieve_us,7.8759,0.2844
"nested, contraction off",ceb_rank_us,11.1017,0.3282
"nested, contraction off",base_retrieve_us,0.6567,0.0660
"nested, contraction off",base_rank_us,0.8655,0.0531
"independent, contraction on",baseline_bpe,2.7107,0.0460
"independent, contraction on",ceb_bpe,2.7349,0.0464
"independent, contraction on",H_bpe,2.3234,0.0373
"independent, contraction on",L_bpe,2.3234,0.0373
"independent, contraction on",saving_pct,-0.8915,0.0038
"independent, contraction on",baseline_total_bpe,13.4275,0.0608
"independent, contraction on",ceb_total_bpe,13.8843,0.0703
"independent, contraction on",total_saving_pct,-3.4020,0.0557
"independent, contraction on",max_depth,0.0000,0.0000
"independent, contraction on",mean_depth,0.0000,0.0000
"independent, contraction on",ceb_build_ms,9.2824,0.2548
"independent, contraction on",base_build_ms,1.5404,0.0447
"independent, contraction on",ceb_retrieve_us,0.3167,0.0445
"independent, contraction on",ceb_rank_us,0.6008,0.0284
"independent, contraction on",base_retrieve_us,0.5933,0.0129
"independent, contraction on",base_rank_us,0.8701,0.0342
